"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"[BMW] 5시리즈(6세대) 520d M 에어로다이니믹",5048,45조0102,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F2100%2Fcarimg%2F2509%2FB250900461%2FB250900461_02_03.jpg%3F20250904104002&type=m&w=800&h=500&quality=90&ttype=jpg,203290,800,"[BMW] 5시리즈(6세대) 520d M 에어로다이니믹",A/T,2016,"현대 경매장",WBA5E5102GG200671,"A / 6"
"[벤츠] E클래스(4세대) E300 4매틱 아방가르드",5049,26고7977,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F2100%2Fcarimg%2F2509%2FB250900404%2FB250900404_02_03.jpg%3F20250904111937&type=m&w=800&h=500&quality=90&ttype=jpg,236378,650,"[벤츠] E클래스(4세대) E300 4매틱 아방가르드",A/T,2014,"현대 경매장",WDDHF8BBXEA951537,"A / 6"
"[포드] 이스케이프(2세대) 2.5 4WD XLT",5050,38수4769,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F2100%2Fcarimg%2F2509%2FB250900077%2FB250900077_02_03.jpg%3F20250904170955&type=m&w=800&h=500&quality=90&ttype=jpg,161554,205,"[포드] 이스케이프(2세대) 2.5 4WD XLT",A/T,2011,"현대 경매장",1FMCU9D7XBKA90273,"B / 1"
"[벤츠] GLB클래스 GLB 250 4매틱",5051,397가8997,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F2100%2Fcarimg%2F2509%2FB250900188%2FB250900188_02_03.jpg%3F20250904130809&type=m&w=800&h=500&quality=90&ttype=jpg,71071,3360,"[벤츠] GLB클래스 GLB 250 4매틱",A/T,2021,"현대 경매장",W1N4M4HB7MW076927,"A / 7"
"[BMW] 5시리즈(6세대) 528i 럭셔리라인 플러스",5052,08구0916,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F2100%2Fcarimg%2F2509%2FB250900467%2FB250900467_02_03.jpg%3F20250904133939&type=m&w=800&h=500&quality=90&ttype=jpg,95071,1700,"[BMW] 5시리즈(6세대) 528i 럭셔리라인 플러스",A/T,2016,"현대 경매장",WBA5A5104GG178927,"A / 6"
"[포드] 익스플로러(5세대) 2.3 AWD 리미티드",5053,03고0806,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F2100%2Fcarimg%2F2509%2FB250900318%2FB250900318_02_03.jpg%3F20250903125022&type=m&w=800&h=500&quality=90&ttype=jpg,227507,820,"[포드] 익스플로러(5세대) 2.3 AWD 리미티드",A/T,2016,"현대 경매장",1FM5K8FH8GGB47983,"A / 3"
"[테슬라] 모델 3 EV AWD 롱 레인지",5054,49호6851,,전기,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F2100%2Fcarimg%2F2509%2FB250900059%2FB250900059_02_03.jpg%3F20250904095924&type=m&w=800&h=500&quality=90&ttype=jpg,57709,2550,"[테슬라] 모델 3 EV AWD 롱 레인지",A/T,2020,"현대 경매장",5YJ3E1EB6LF809362,"A / 2"
"[BMW] 4시리즈(1세대) 그란쿠페 420d 럭셔리",5055,55도1748,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F2100%2Fcarimg%2F2509%2FB250900407%2FB250900407_02_03.jpg%3F20250904105801&type=m&w=800&h=500&quality=90&ttype=jpg,178712,1000,"[BMW] 4시리즈(1세대) 그란쿠페 420d 럭셔리",A/T,2018,"현대 경매장",WBA4K3108JBG87309,"A / 5"
"[캐딜락] 에스컬레이드(4세대) 6.2 V8 ESV",5056,37누7860,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F2100%2Fcarimg%2F2509%2FB250900073%2FB250900073_02_03.jpg%3F20250904142744&type=m&w=800&h=500&quality=90&ttype=jpg,235070,3000,"[캐딜락] 에스컬레이드(4세대) 6.2 V8 ESV",A/T,2019,"현대 경매장",1GYS48KJ7KR126124,"A / 4"
"[벤츠] 스프린터(3세대) 319 CDI 유로스타 VIP",5057,369마8948,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F2100%2Fcarimg%2F2509%2FB250900046%2FB250900046_02_03.jpg%3F20250827162130&type=m&w=800&h=500&quality=90&ttype=jpg,122277,5150,"[벤츠] 스프린터(3세대) 319 CDI 유로스타 VIP",A/T,2021,"현대 경매장",W1V907733MP324027,"A / 6"
